number,identifier,category,rationale
1013,UNVSL,Prolonged Nursing Facility E/M Medicare,"Report G0317 to Medicare instead of 99418. List separately in addition to CPT codes 99306, 99310 for each additional 15 minutes. Do NOT report G0317 for less than 15 minutes."
1014,UNVSL,Prolonged Home or Residence E/M Medicare,"Report G0318 to Medicare instead of 99417. List separately in addition to CPT codes 99345, 99350 for each additional 15 minutes. Do NOT report G0318 for less than 15 minutes."
1015,VAX,NA,"Code the Moderna COVID-19 Vaccine, Bivalent vaccine admin (0164A). Approved for patients 6 months - 5 years old."
1016,MCD:MO,NA,Add AH modifier for Psychologist.
1017,MCD:MO,NA,"Do not use AH modifier for CPT 97151-91758, 0362T, 0373T."
1018,RHC,RHC/FQHC,"Bill G0512 (Psychiatric CoCM) in place of 99492, 99493. Bill on UB with Rev Code 0521."
1019,FQHC,NA,Only 1 New patient visit is allowed. Use G0466 to bill for the medical visit and G0470 to bill for the mental health visit.
1020,MCD:MO,NA,Add AJ modifier for Licensed Clinical Social Worker/Licensed Master Social Worker
1021,MCD:MO,NA,Add modifier UD for Licensed Professional Counselor
1022,MCD:MO,NA,Add modifier HE for Licensed Marital and Family Therapist
1023,MCD:MO,NA,"Add modifiers HL, AH for Psychology Intern"
1024,MCD:MO,NA,Add modifier U8 when the place of service is Home.
1025,MCD:MO,NA,MO Medicaid does not recognize POS 10. Telehealth should be billed with POS 02.
1026,MCD:MO,NA,TM should be the first modifier listed for services provided at a school location.
1027,MCD:MO,NA,TM should be the second modifier listed for services provided at a school location.
1028,MCD:MO,NA,One or more CPT codes listed are not on Missouri Medicaids approved list for Telehealth.
1029,MCD:KS,NA,Missing covered dx for tobacco cessation counseling.
1030,MCD:KS,NA,One or more CPT codes listed are not on Kansas Medicaids approved list for Telehealth.
1031,MCD:KS,NA,Bill POS 10 for Kansas Medicaid Telehealth. Modifier GT is not required.
1032,ICD:CM,S00-S49.92 Sequela Dx,Sequela Dx (ends in S) should not be listed as the primary dx. Code the condition or nature of the sequela first. The sequela code is sequenced second per ICD-10-CM Official Guidelines for Coding and Reporting.
1033,ICD:CM,S50.00-S99.929 Sequela Dx,Sequela Dx (ends in S) should not be listed as the primary dx. Code the condition or nature of the sequela first. The sequela code is sequenced second per ICD-10-CM Official Guidelines for Coding and Reporting.
1034,ICD:CM,T36-T88.9XXS Sequela Dx,Sequela Dx (ends in S) should not be listed as the primary dx. Code the condition or nature of the sequela first. The sequela code is sequenced second per ICD-10-CM Official Guidelines for Coding and Reporting.
1035,NEURO,Medicare NCCI 2022 Coding Policy Manual – Chap8CPTCodes -60000-69999,"Per CMS, 69990-59 can be billed with 61781/61782 as long as a surgery approved to bill with 69990 is also coded."
1036,MCD:CA,NA,Use modifier 93 with POS 02 or 10 for audio only telehealth visits. Use Modifier 95 for audio and video visits with POS 02 or 10.
1037,MCD:GA,In office labs,Lab charge is present that is not on the approved in office lab list.
1038,TELE,BCBS of SC Teleheatlh,One or more CPT codes listed are not approved by BCBS of SC for Telehealth.
1039,MCD:TX,Autism Screenings,Autism Screening - Providers should bill code 96110 with modifier U6 for autism screenings.
1040,VAX,Medicare vaccines,Medicare does not cover one or more of the vaccines listed
1041,UNVSL,Cigna Mod 25 with office E/M,Cigna requires documentation to be submitted with claim to support the use of modifier 25.
1042,RHC,Modifier CG,Modifier CG should be added to the office E/M charge or a qualifying behavioral health charge and not the G-code when both are present on the claim.
1043,RHC,Mod 25/59 on RHC UB,Modifier 25 or 59 should not be used on RHC UB claims unless a separate visit (If an illness or injury that wasn’t present during the first visit requires additional diagnosis or treatment on the same day) occured on the same day. Do not assign modifier CG and 25 or 59 to the same CPT line.
1044,RHC,NA,Use G0071 for HCPCS codes G2012 and G2010. Do not use CG modifier.
1045,MCD:AR,99401/99402 RHC,Modifier U9 should be added to 99401/99402 for Family Planning Visits. Assign a family planning dx as primary.
1046,MCD:AR,99460-99463 Modifiers RHC,"Newborn Care/Screen in Hospital visits should use modifier UA or if EPSDT visit, use EP, UA. Assign delivery dx code."
1047,MCD:GA,RHC Independent/Freestanding,Bill claims on 1500 with POS 72 - do not bundle
1048,MCD:GA,RHC Well visit with sick,Office visit billed with CPT 99202 - 99205 and 99211 - 99215 should be billed with Modifiers EP and 25 and place of service 72 (RHC) when performed during the same encounter as a Preventive Health check visit.
1049,MCD:GA,RHC TB test,86580 is separately Reimbursable with a Health Check encounter visit. Assign modifier EP with dx Z11.1
1050,MCD:GA,Send out Lead tests,"Lead tests sent to the Georgia Public Health Laboratory should bill 83655 with modifiers EP, 90 on the same claim as 36415/36416 to obtain additional reimbursement. If performed in-house or by a different outside lab, only bill 36415/36416 with Z13.88 assigned."
1051,MCD:GA,RHC 96110,"Developmental screenings are separately reimbursable at the 9, 18, and 30 months visits when performed during the same encounter as the EPSDT (Health Check) preventive health visit. Bill the developmental screening with CPT 96110 with EP modifier and place of service 72 (RHC)."
1052,MCD:AL,NA,Use Modifier GT for audio and visual and modifier FQ for audio-only.
1053,MCD:AL,NA,IUD Supply Codes are separately reimbursable utilizing the non-IRHC National Provider Identifier (NPI) and on a separate claim as fee-for-service - do not bundle with encounter.
1054,MCD:AL,NA,Add EPSDT info for all preventative visits for patients under 21 years old. The EPSDT Indicator will allow care to be renderedand bypass the visit limits per year.
1055,MCD:WA,NA,"Any office, laboratory, radiology, immunization, or other procedure rendered as part of follow-up treatment and NOT part of the well-child visit, must be billed on a separate professional claim from the EPSDT well-child checkup."
1056,MCD:WA,NA,Use POS 02 or 10 with modifier 95 for audio and video telehealth visits. Use modifier 93 or FQ(counseling/therapy) for audio-only visits.
1057,ICD:CM,R31-R31.9 Excludes 1,Remove R31.* - Excludes 1 note with N30.01/N02*. Codes should not be billed together.
1058,PREVENT,96160/96161,"Use 96160/96161 in conjunction with 99202-99239, 99241-99255, 99281-99350, 99366, 99374-99412, 99415-99416, 99441, 99442, 99443, 99487-99498."
1059,UNVSL,99417 Tricare,"G2212 should be reported instead of 99417 for Tricare in addition to 99205, 99215 or 99483 for each additional 15 minutes. Do NOT report G2212 for less than 15 minutes."
1060,MCD:AR,Arkansas Medicaid sick and prev visit,Split Preventative visit and vaccine/vaccine admins and bill on 1500 claim. Office visit is billed on a UB.
1061,ANES,PeachState/CareSource/GA Medicaid Physical Status modifiers,"Do not bill physical status modifiers P1-P6 for Medicaid, Peach State and CareSource. Claim will deny."
1062,ICD:CM,J02 Excludes 1,"J02.9 should not be coded with J10.1, J11.1, J09.X2 per Excludes 1 note."
1063,BCBS:NC,NA,"Providers not rendering prenatal, delivery, or postpartum care services should follow standard ICD-10-CM guidelines and indicate pregnancy as an incidental SECONDARY diagnosis (Z33.1). Code non-routine pregnancy dx as primary for E/M visits."
1064,GASTRO,NA,"If a screening colonoscopy is being performed due to a positive stool-based screening (82270, 81528, G0328), assign modifier KX to G0105/G0121"
1065,NEURO,95907-95913 with 95860-95864,"When a EMG is performed with nerve conduction studies (95907-95913), see 95885-95887 instead of 95860-95864."
1066,NEURO,NA,Both a nerve conduction velocity study and an electromyogram must be performed involving the nerve(s) being studied on the same date of service in order to be reimbursed for those procedures. Only exception is for Carpal Tunnel Syndrome.
1067,UNVSL,NA,Cigna will deny 99211-99215 when billed with 96372 and codes J1071 or J3145 when there are no other services billed on the claim.
1068,BCBS:VA,NA,CLIA waived tests are present - review and add modifier QW to CLIA waived tests.
1069,UNVSL,NA,"G2212 should be billed in addition to 99205, 99215 or 99483. Valid parent code not on claim."
1070,UNVSL,99417 UHC -,"G2212 should be reported instead of 99417 for UHC in addition to 99205, 99215 or 99483 for each additional 15 minutes. Do NOT report G2212 for less than 15 minutes."
1071,UNVSL,H04.53* Newborn Only Dx (0-28 days old),H04.53* is a newborn only dx (0-28 days old) per ICD10 guidelines. See Q10.5 for ages 29 days and older.
1072,ICD:CM,M54.6 Excludes 1,M54.6 and M51-M51.9 cannot be billed together. Remove M54.6.
1073,ICD:CM,"E16.1,E16.2 Excludes 1","E16.1 and E16.2 cannot be billed with E08.649, E10.649, E11.649, E13.649. Remove E16*."
1074,LABS,NA,CLIA waived tests are present - review and add modifier QW to CLIA waived tests. **SELECT ALL UNITED HEALTHCARE/UHC MEDICARE PLANS
1075,UNVSL,Modifier SA,Modifier SA is required when a supervising physician bills on behalf of a mid-level provider for non-surgical services.
1076,DME,NA,"Modifier N1, N2 or N3 should be used instead of KX for initial claims for oxygen or new 36-month oxygen rental periods with dates of service on or after April 1, 2023"
1077,UNVSL,F25 Excludes1,"Mood [affective] disorders with psychotic features (F30.2, F31.2, F31.5, F31.64, F32.3, F33.3) and Schizoaffective disorders) identify conditions that cannot be reported together per the ICD-10-CM Excludes1 note guidelines. Remove F3** dx."
1078,DME,F25 Excludes1,Charges for bilateral wheelchair options/accessories should be billed as 1 unit of service on separate claim lines with RT and LT as the second modifier. Do not bill as 2 units.
1079,VAX,NA,Vaccine is no longer approved for use in the United States. Please verify CPT codes.
1080,VAX,NA,"Janssen COVID-19 Vaccine is no longer available in the U.S. All remaining U.S. government stock of Janssen COVID-19 Vaccine expired May 7, 2023.Please verify CPT codes."
1081,UNVSL,NA,Covid vaccine missing admin code 90480.
1082,UNVSL,NA,90480 billed without code for Covid vaccine: 91318-91322
1083,UNVSL,NA,Bill 90480 for administration of all Covid vaccines. All other Covid admin codes have been deleted.
